Descriptor_Set,DR_Method,Clustering,ARI_vs_Baseline,N_Clusters,Silhouette,Davies_Bouldin
Minimal_10,PCA,HDBSCAN,-0.013062489699194015,10,0.41262593110806683,0.5804640474776115
Minimal_10,t-SNE,DBSCAN,0.3586180869881041,7,0.48430734872817993,0.5730959181407069
Minimal_10,KMeans,KMeans_4,0.2607901617920706,4,0.5077654123306274,0.6818804188619841
Minimal_10,KMeans,KMeans_6,0.24619877372231738,6,0.6386125087738037,0.4645481470239163
Minimal_10,Hierarchical,Hierarchical_4,0.4334954488381102,4,0.5596287846565247,0.60148645480811
Minimal_10,t-SNE,HDBSCAN,0.3313575078560755,11,0.48811212182044983,0.525693205137983
Minimal_10,UMAP,DBSCAN,0.6174046685900042,6,0.6525616645812988,0.3698332283857293
Minimal_10,KMeans,KMeans_4,0.2355920064810894,4,0.5296953320503235,0.7159270561661537
Minimal_10,KMeans,KMeans_6,0.35887008398366776,6,0.7031136155128479,0.3622949561681968
Minimal_10,Hierarchical,Hierarchical_4,0.605286427084592,4,0.6500213742256165,0.4949985700034233
Minimal_10,UMAP,HDBSCAN,0.13666317876974282,21,0.6933609247207642,0.3719240745989166
Extended,PaCMAP,PaCMAP_DBSCAN,1.0,6,0.6714269518852234,0.29922241032099933
Extended,KMeans,4,0.5524349250587197,4,0.5209779143333435,0.6600678053103619
Extended,KMeans,6,0.3541074670746854,6,0.6079341769218445,0.4810331905338845
Extended,Hierarchical,4,0.5234891160162616,4,0.5208202004432678,0.6612100709731328
Extended,PaCMAP,PaCMAP_HDBSCAN,0.106119049143269,23,0.7933148741722107,0.2717118612926646
Extended,PCA,PCA_DBSCAN,-0.015388196029993834,1,,
Extended,KMeans,4,0.04389855165600287,4,0.3763606689410287,0.9213915968118367
Extended,KMeans,6,0.15276087783422893,6,0.3290071958435031,0.8478003868540321
Extended,Hierarchical,4,-0.09376226521544777,4,0.33914939172496056,0.658810088535738
Extended,PCA,PCA_HDBSCAN,0.06780290169762064,10,0.38641086690975407,0.714087571132096
Extended,t-SNE,t-SNE_DBSCAN,0.43608861966678286,9,0.41889113187789917,0.5824423894474937
Extended,KMeans,4,0.28564862116552747,4,0.49793386459350586,0.7461463738044766
Extended,KMeans,6,0.2418229942452113,6,0.5168814659118652,0.6778831919667496
Extended,Hierarchical,4,0.503483751677268,4,0.5090278387069702,0.7038932324597077
Extended,t-SNE,t-SNE_HDBSCAN,0.25189560545774103,13,0.5041300654411316,0.5686719064958506
Extended,UMAP,UMAP_DBSCAN,0.7329701220010499,7,0.6599475145339966,0.3180166096104295
Extended,KMeans,4,0.29188519853081774,4,0.46953243017196655,0.7307196006539783
Extended,KMeans,6,0.5036733463725084,6,0.6335854530334473,0.4944233141423083
Extended,Hierarchical,4,0.5832415600930377,4,0.5727575421333313,0.6332367620249978
Extended,UMAP,UMAP_HDBSCAN,0.12205817323184022,22,0.744962751865387,0.31134851872619085
MolecularProps_Only,PaCMAP,DBSCAN,0.0,1,,
MolecularProps_Only,KMeans,KMeans_4,0.11289062703474916,4,0.5430504083633423,0.6605127719988524
